Commune;Densite_Valeur;Categorie;Moyenne_NOX;Code_INSEE
RODEZ;2142.0;Centres urbains intermédiaires;22.284304932735424;12202
NIMES;919.0;Grands centres urbains;20.205343511450383;30189
TOULOUSE;4269.0;Grands centres urbains;24.12670906200318;31555
AUCH;314.0;Centres urbains intermédiaires;33.73243243243243;32013
MONTPELLIER;5296.0;Grands centres urbains;28.97426636568849;34172
ARGELES-GAZOST;919.0;Bourgs ruraux;21.494;65025
LOURDES;366.0;Centres urbains intermédiaires;21.97956656346749;65286
TARBES;2867.0;Centres urbains intermédiaires;26.09847328244275;65440
ALBI;1106.0;Centres urbains intermédiaires;19.195999999999998;81004
CASTRES;432.0;Centres urbains intermédiaires;9.985826771653544;81065
MONTAUBAN;456.0;Centres urbains intermédiaires;29.284279475982533;82121
SAINT-GIRONS;328.0;Petites villes;14.43095975232198;9261
